epoch (ms),time (18:00),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1535604057996,2018-08-30T13:40:57.996,19.957,-0.152,0.837,0.226
1535604057996,2018-08-30T13:40:57.996,19.957,-0.148,0.818,0.253
1535604057996,2018-08-30T13:40:57.996,19.957,-0.154,0.888,0.268
1535604058232,2018-08-30T13:40:58.232,20.193,-0.160,1.049,0.322
1535604058232,2018-08-30T13:40:58.232,20.193,-0.161,1.218,0.306
1535604058232,2018-08-30T13:40:58.232,20.193,-0.009,0.829,0.195
1535604058504,2018-08-30T13:40:58.504,20.465,-0.097,0.883,0.215
1535604058504,2018-08-30T13:40:58.504,20.465,-0.160,0.861,0.250
1535604058504,2018-08-30T13:40:58.504,20.465,-0.047,0.761,0.294
1535604058732,2018-08-30T13:40:58.732,20.693,-0.034,0.797,0.305
1535604058732,2018-08-30T13:40:58.732,20.693,-0.102,0.979,0.315
1535604058732,2018-08-30T13:40:58.732,20.693,-0.192,1.273,0.318
1535604058964,2018-08-30T13:40:58.964,20.925,-0.274,0.887,0.234
1535604058964,2018-08-30T13:40:58.964,20.925,-0.262,0.819,0.169
1535604058964,2018-08-30T13:40:58.964,20.925,-0.203,0.921,0.185
1535604059212,2018-08-30T13:40:59.212,21.173,-0.159,0.786,0.218
1535604059212,2018-08-30T13:40:59.212,21.173,-0.151,0.811,0.247
1535604059212,2018-08-30T13:40:59.212,21.173,-0.141,0.900,0.293
1535604059459,2018-08-30T13:40:59.459,21.420,-0.170,1.159,0.329
1535604059459,2018-08-30T13:40:59.459,21.420,-0.094,1.205,0.217
1535604059459,2018-08-30T13:40:59.459,21.420,0.001,0.763,0.107
1535604059695,2018-08-30T13:40:59.695,21.656,-0.186,0.958,0.151
1535604059695,2018-08-30T13:40:59.695,21.656,-0.138,0.833,0.233
1535604059695,2018-08-30T13:40:59.695,21.656,-0.053,0.756,0.290
1535604059942,2018-08-30T13:40:59.942,21.903,-0.086,0.826,0.300
1535604059942,2018-08-30T13:40:59.942,21.903,-0.155,1.069,0.346
1535604059942,2018-08-30T13:40:59.942,21.903,-0.217,1.250,0.313
1535604060190,2018-08-30T13:41:00.190,22.151,-0.219,0.749,0.208
1535604060190,2018-08-30T13:41:00.190,22.151,-0.198,0.891,0.155
1535604060190,2018-08-30T13:41:00.190,22.151,-0.170,0.805,0.249
1535604060426,2018-08-30T13:41:00.426,22.387,-0.189,0.766,0.296
1535604060426,2018-08-30T13:41:00.426,22.387,-0.181,0.892,0.308
1535604060426,2018-08-30T13:41:00.426,22.387,-0.168,1.012,0.331
1535604060675,2018-08-30T13:41:00.675,22.636,-0.215,1.300,0.342
1535604060675,2018-08-30T13:41:00.675,22.636,-0.056,0.821,0.147
1535604060675,2018-08-30T13:41:00.675,22.636,-0.043,0.900,0.140
1535604060910,2018-08-30T13:41:00.910,22.871,-0.081,0.906,0.236
1535604060910,2018-08-30T13:41:00.910,22.871,-0.192,0.750,0.254
1535604060910,2018-08-30T13:41:00.910,22.871,-0.108,0.827,0.295
1535604061157,2018-08-30T13:41:01.157,23.118,-0.072,0.979,0.345
1535604061157,2018-08-30T13:41:01.157,23.118,-0.135,1.201,0.374
1535604061157,2018-08-30T13:41:01.157,23.118,-0.251,0.876,0.241
1535604061406,2018-08-30T13:41:01.406,23.367,-0.214,0.898,0.188
1535604061406,2018-08-30T13:41:01.406,23.367,-0.099,0.850,0.208
1535604061406,2018-08-30T13:41:01.406,23.367,-0.151,0.763,0.273
1535604061642,2018-08-30T13:41:01.642,23.603,-0.108,0.867,0.379
1535604061642,2018-08-30T13:41:01.642,23.603,-0.173,0.913,0.306
1535604061642,2018-08-30T13:41:01.642,23.603,-0.201,1.155,0.380
1535604061888,2018-08-30T13:41:01.888,23.849,-0.006,1.001,0.259
1535604061888,2018-08-30T13:41:01.888,23.849,-0.052,0.843,0.217
1535604061888,2018-08-30T13:41:01.888,23.849,-0.174,0.847,0.261
1535604062136,2018-08-30T13:41:02.136,24.097,-0.047,0.795,0.320
1535604062136,2018-08-30T13:41:02.136,24.097,-0.020,0.813,0.348
1535604062136,2018-08-30T13:41:02.136,24.097,-0.078,0.896,0.357
1535604062372,2018-08-30T13:41:02.372,24.333,-0.135,1.217,0.395
1535604062372,2018-08-30T13:41:02.372,24.333,-0.204,0.959,0.277
1535604062372,2018-08-30T13:41:02.372,24.333,-0.217,0.804,0.208
1535604062621,2018-08-30T13:41:02.621,24.582,-0.185,0.880,0.219
1535604062621,2018-08-30T13:41:02.621,24.582,-0.173,0.742,0.281
1535604062621,2018-08-30T13:41:02.621,24.582,-0.180,0.827,0.307
1535604062867,2018-08-30T13:41:02.867,24.828,-0.167,1.009,0.336
1535604062867,2018-08-30T13:41:02.867,24.828,-0.166,1.311,0.390
1535604062867,2018-08-30T13:41:02.867,24.828,-0.034,0.882,0.193
1535604063103,2018-08-30T13:41:03.103,25.064,-0.032,0.775,0.135
